Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$185.92,0.33,0.178%,2891567651840.00,United States,1980,40444634,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$596.54,-0.95,-0.159%,271604662000.00,United States,1986,1471356,Technology,Computer Software: Prepackaged Software
AMZN,Amazon.com Inc. Common Stock,$154.62,-0.56,-0.361%,1597847809207.00,United States,1997,40460184,Consumer Discretionary,Catalog/Specialty Distribution
ASML,ASML Holding N.V. New York Registry Shares,$713.22,-5.31,-0.739%,281429059713.00,Netherlands,1995,580459,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$1107.68,7.70,0.70%,518549945470.00,United States,2009,2687874,Technology,Semiconductors
CSCO,Cisco Systems Inc. Common Stock (DE),$50.34,-0.10,-0.198%,204555365530.00,United States,1990,18785441,Telecommunications,Computer Communications Equipment
GOOG,Alphabet Inc. Class C Capital Stock,$144.24,0.57,0.397%,1805307840000.00,United States,2004,13995168,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$142.65,0.57,0.401%,1785407400000.00,United States,2004,18768265,Technology,Computer Software: Programming Data Processing
META,Meta Platforms Inc. Class A Common Stock,$374.49,4.82,1.304%,962387894507.00,United States,2012,19297507,Technology,Computer Software: Programming Data Processing
MSFT,Microsoft Corporation Common Stock,$388.47,3.84,0.998%,2887210946947.00,United States,1986,21645563,Technology,Computer Software: Prepackaged Software
NFLX,Netflix Inc. Common Stock,$492.16,-0.07,-0.014%,215408425895.00,United States,2002,4996602,Consumer Discretionary,Consumer Electronics/Video Chains
NVDA,NVIDIA Corporation Common Stock,$547.10,-1.12,-0.204%,1351337000000.00,United States,1999,35245805,Technology,Semiconductors
PDD,PDD Holdings Inc. American Depositary Shares,$148.63,-2.70,-1.784%,204088484905.00,China,2018,5126296,Consumer Discretionary,Business Services
TSLA,Tesla Inc. Common Stock,$218.89,-8.33,-3.666%,695834103276.00,United States,2010,122790258,Consumer Discretionary,Auto Manufacturing
